# bank 1 - only see 1 peak at 2.144Å  (plus "edge" at 2.730-2.775)
2.730  2.775   
2.062  2.253   
# bank 2 - see 6 peaks plus "edge" at 2.696-2.725
2.696  2.725   
2.072  2.238   
1.494  1.548   
1.206  1.275   
1.055  1.094   
0.938  0.983   
0.791  0.833   
# bank 3 - see V peaks plus "edge" at 2.693-2.758 (well fitted by spline 150)
2.693  2.758   
2.102  2.184   
1.494  1.531   
1.214  1.264   
1.058  1.089   
0.946  0.971   
0.868  0.883   
0.795  0.821   
0.706  0.723   
0.672  0.683   
0.639  0.653   
0.588  0.601   
0.546  0.560   
0.489  0.499   
# bank 4 - "edge" (2.686-2.770) appears more spread out and is easily fitted by spline 150
2.112  2.167     
1.501  1.533   
1.223  1.254   
1.063  1.083   
0.947  0.969   
0.868  0.882   
0.800  0.822   
0.708  0.723   
0.672  0.685   
0.640  0.652   
0.614  0.625   
0.589  0.599   
0.548  0.558   
0.514  0.523   
0.487  0.495   
# bank 5 - is edge (2.696-2.769) the tail cutter closing? (well fitted by spline 150)
2.127  2.165   
1.504  1.529   
1.229  1.249   
1.063  1.080   
0.951  0.967   
0.868  0.881   
0.803  0.817
0.753  0.762   
0.708  0.723   
0.673  0.683   
0.641  0.650
0.615  0.622   
0.589  0.602   
0.549  0.559   
0.516  0.525   
0.489  0.498   
