# detector ID, old position (x), old position (y), old position (z), calibrated position (x), calibrated position (y), calibrated position (z), calib. L2, calib. 2\theta, calib. \phi, delta L2 (calibrated - old), difc, zero
100001,1.3911827,-0.4253272,0.3674281,1.4228587,-0.4350115,0.3757941,1.5345953703,1.3233988285,-0.2967059612,0.0341634601,16011.2763671875,-7.9617724419
100002,1.3918183,-0.4255216,0.3645027,1.4128633,-0.4319557,0.3700141,1.5230492353,1.3253977299,-0.2967059612,0.0226862431,16028.2236328125,-4.3935761452
100003,1.3924539,-0.4257159,0.3615772,1.4138534,-0.4322584,0.3671340,1.5233567953,1.3273968697,-0.2967059612,0.0230568722,16048.8398437500,-6.1104488373
100004,1.3930895,-0.4259102,0.3586518,1.4511480,-0.4436605,0.3735990,1.5627671480,1.3293961287,-0.2967059612,0.0625241697,16081.6376953125,-14.3824272156
100005,1.3937251,-0.4261045,0.3557263,1.4193596,-0.4339418,0.3622691,1.5277847052,1.3313955069,-0.2967059612,0.0275927186,16091.2207031250,-1.4774315357
100006,1.3943607,-0.4262989,0.3528009,1.4160945,-0.4329435,0.3583000,1.5235296488,1.3333951235,-0.2967059612,0.0233826563,16110.3681640625,2.2930309772
100007,1.3949963,-0.4264932,0.3498754,1.4380828,-0.4396660,0.3606818,1.5464409590,1.3353947401,-0.2967059612,0.0463329628,16138.0039062500,-6.7031874657
100008,1.3956319,-0.4266875,0.3469500,1.3984633,-0.4275531,0.3476539,1.5031182766,1.3373944759,-0.2967059612,0.0030432648,16144.8789062500,6.4341731071
100009,1.3962675,-0.4268818,0.3440245,1.4375843,-0.4395136,0.3542045,1.5444357395,1.3393943310,-0.2967059612,0.0443876907,16178.2705078125,-5.0208587646
100010,1.3969031,-0.4270761,0.3410991,1.4444096,-0.4416003,0.3526993,1.5510405302,1.3413943052,-0.2967059612,0.0510135815,16200.7705078125,-10.9880619049
100011,1.3975387,-0.4272705,0.3381736,1.4436342,-0.4413633,0.3493277,1.5494873524,1.3433941603,-0.2967059612,0.0494754016,16220.6923828125,-7.3444662094
