4.258,0200000000004	3.240,7399999999998	1.946,0599999999999	1.661,1500000000001	939,1840000000000	865,4589999999999	741,6110000000000	527,3530000000000	250,3810000000000	601,1070000000000	876,3160000000000	346,6000000000000	182,0280000000000	88,2898000000000	258,9270000000000	285,4230000000000	167,2340000000000	268,5750000000000	90,9924000000000	93,7781000000000	126,2120000000000	93,7785000000000	0,0000000000000	137,6020000000000	0,0000000000000	180,4930000000000	61,1682000000000	183,5310000000000
26.331,0999999999985	16.942,0000000000000	9.029,3299999999999	8.901,7299999999996	5.895,1899999999996	4.053,0300000000002	4.951,2200000000003	3.888,5799999999999	2.916,8200000000002	2.336,5900000000001	3.020,1599999999999	2.722,8899999999999	1.509,1099999999999	2.642,0599999999999	1.591,9300000000001	1.630,6800000000001	1.200,5100000000000	1.444,0799999999999	741,2569999999999	935,6319999999999	1.022,7300000000000	922,8860000000000	509,8310000000000	699,4720000000000	928,8070000000000	823,6310000000000	707,6420000000001	620,2180000000000
168.672,0000000000000	106.638,0000000000000	72.175,8999999999942	52.039,8000000000029	42.715,3000000000029	34.523,5999999999985	27.747,7000000000007	24.712,0000000000000	17.282,9000000000015	14.786,1000000000004	13.917,2000000000007	14.767,3999999999996	12.253,3999999999996	10.638,7999999999993	10.478,0000000000000	7.294,4799999999996	7.257,5500000000002	6.588,2200000000003	6.243,4200000000001	8.475,1499999999996	7.732,3800000000001	3.568,9499999999998	2.632,4299999999998	2.986,7199999999998	3.550,8400000000001	3.505,6199999999999	3.921,1100000000001	5.401,7100000000000
379.855,0000000000000	231.731,0000000000000	178.500,0000000000000	131.918,0000000000000	102.172,0000000000000	87.355,8000000000029	80.651,3999999999942	61.846,0999999999985	49.177,5000000000000	49.404,0999999999985	40.746,9000000000015	35.528,1999999999971	30.726,9000000000015	26.424,9000000000015	27.967,4000000000015	19.800,5000000000000	23.619,7000000000007	20.619,2000000000007	21.817,7999999999993	19.346,4000000000015	18.466,5000000000000	12.171,6000000000004	12.427,7000000000007	12.551,0000000000000	12.361,5000000000000	10.491,7000000000007	9.378,8600000000006	7.769,7200000000003
513.058,0000000000000	352.782,0000000000000	255.649,0000000000000	205.452,0000000000000	153.103,0000000000000	113.492,0000000000000	112.717,0000000000000	89.209,5000000000000	78.854,8999999999942	71.023,8000000000029	53.508,3000000000029	51.787,4000000000015	47.334,1999999999971	39.975,5000000000000	41.143,0000000000000	32.663,4000000000015	31.567,2999999999993	30.751,7999999999993	31.353,4000000000015	19.790,5000000000000	24.203,5999999999985	20.385,0000000000000	14.757,2000000000007	14.032,8999999999996	16.894,9000000000015	18.322,0000000000000	15.659,8999999999996	16.064,8999999999996
1.011.540,0000000000000	660.200,0000000000000	461.719,0000000000000	365.016,0000000000000	280.779,0000000000000	241.172,0000000000000	181.658,0000000000000	169.680,0000000000000	138.284,0000000000000	132.117,0000000000000	113.015,0000000000000	84.343,0000000000000	85.247,8000000000029	83.616,0000000000000	70.769,3000000000029	66.358,5000000000000	67.097,1000000000058	57.442,9000000000015	44.507,3000000000029	50.616,6999999999971	54.299,9000000000015	43.242,8000000000029	42.208,0999999999985	40.731,5000000000000	30.191,5000000000000	35.818,0999999999985	35.375,3000000000029	29.234,7000000000007
1.391.280,0000000000000	1.009.550,0000000000000	660.309,0000000000000	534.239,0000000000000	437.710,0000000000000	358.069,0000000000000	301.195,0000000000000	271.287,0000000000000	231.170,0000000000000	209.907,0000000000000	177.282,0000000000000	164.379,0000000000000	134.590,0000000000000	139.523,0000000000000	121.335,0000000000000	121.182,0000000000000	90.245,5000000000000	97.056,1999999999971	78.242,3000000000029	71.479,6999999999971	79.603,6000000000058	58.351,9000000000015	58.529,6999999999971	50.723,6999999999971	48.476,0999999999985	48.314,8000000000029	61.847,1999999999971	32.449,5999999999985
1.909.910,0000000000000	1.345.050,0000000000000	976.044,0000000000000	709.776,0000000000000	636.156,0000000000000	504.768,0000000000000	416.238,0000000000000	350.418,0000000000000	339.420,0000000000000	268.806,0000000000000	227.820,0000000000000	236.406,0000000000000	193.551,0000000000000	199.860,0000000000000	147.571,0000000000000	153.107,0000000000000	145.763,0000000000000	114.695,0000000000000	113.819,0000000000000	96.053,6000000000058	86.758,3000000000029	89.848,1000000000058	74.324,3000000000029	81.759,5000000000000	75.563,1000000000058	68.952,1000000000058	68.708,6000000000058	61.908,9000000000015
2.267.110,0000000000000	1.545.830,0000000000000	1.039.310,0000000000000	809.718,0000000000000	666.343,0000000000000	555.893,0000000000000	495.228,0000000000000	410.222,0000000000000	335.617,0000000000000	330.711,0000000000000	304.351,0000000000000	222.716,0000000000000	237.417,0000000000000	213.435,0000000000000	191.347,0000000000000	178.051,0000000000000	151.260,0000000000000	144.276,0000000000000	138.980,0000000000000	130.424,0000000000000	118.582,0000000000000	112.020,0000000000000	106.709,0000000000000	98.644,3999999999942	87.238,5000000000000	87.492,6999999999971	85.646,6999999999971	79.638,6999999999971
2.926.720,0000000000000	2.018.920,0000000000000	1.492.250,0000000000000	1.060.040,0000000000000	910.396,0000000000000	714.422,0000000000000	622.518,0000000000000	544.050,0000000000000	438.747,0000000000000	434.376,0000000000000	385.233,0000000000000	345.945,0000000000000	294.638,0000000000000	272.526,0000000000000	237.316,0000000000000	220.946,0000000000000	195.418,0000000000000	185.472,0000000000000	184.693,0000000000000	177.166,0000000000000	152.107,0000000000000	143.710,0000000000000	137.166,0000000000000	122.227,0000000000000	119.203,0000000000000	108.784,0000000000000	107.723,0000000000000	93.108,1999999999971
